6|6,4.115104675292969
6 6|6 6,51.88941955566406
6 6 6|6 6 6,9.2315673828125
12 6 6|12 6 6,8.759498596191406
18 6 6|18 6 6,8.6212158203125
24 6 6|24 6 6,8.683204650878906
30 6 6|30 6 6,8.3160400390625
36 6 6|36 6 6,7.572174072265625
42 6 6|42 6 6,8.907318115234375
48 6 6|48 6 6,7.977485656738281
54 6 6|54 6 6,8.0108642578125
60 6 6|60 6 6,8.702278137207031
66 6 6|66 6 6,8.540153503417969
72 6 6|72 6 6,8.349418640136719
78 6 6|78 6 6,8.234977722167969
84 6 6|84 6 6,9.355545043945312
90 6 6|90 6 6,8.554458618164062
96 6 6|96 6 6,8.611679077148438
12 6|12 6,7.829666137695313
6 12 6|6 12 6,8.215904235839844
12 12 6|12 12 6,7.6389312744140625
18 12 6|18 12 6,38.63811492919922
24 12 6|24 12 6,9.179115295410156
30 12 6|30 12 6,8.325576782226562
36 12 6|36 12 6,8.206367492675781
42 12 6|42 12 6,8.50677490234375
48 12 6|48 12 6,9.164810180664062
54 12 6|54 12 6,10.662078857421875
60 12 6|60 12 6,10.333061218261719
66 12 6|66 12 6,9.0789794921875
72 12 6|72 12 6,11.296272277832031
78 12 6|78 12 6,9.42230224609375
84 12 6|84 12 6,9.57489013671875
90 12 6|90 12 6,11.086463928222656
96 12 6|96 12 6,10.371208190917969
18 6|18 6,7.93933868408203
6 18 6|6 18 6,7.634162902832032
12 18 6|12 18 6,7.729530334472656
18 18 6|18 18 6,8.516311645507812
24 18 6|24 18 6,8.282661437988281
30 18 6|30 18 6,9.708404541015625
36 18 6|36 18 6,9.002685546875
42 18 6|42 18 6,9.860992431640625
48 18 6|48 18 6,10.237693786621094
54 18 6|54 18 6,9.641647338867188
60 18 6|60 18 6,11.281967163085938
66 18 6|66 18 6,587.8019332885742
72 18 6|72 18 6,10.685920715332031
78 18 6|78 18 6,12.683868408203125
84 18 6|84 18 6,13.957023620605469
90 18 6|90 18 6,12.593269348144531
96 18 6|96 18 6,71.87843322753906
24 6|24 6,7.452964782714844
6 24 6|6 24 6,8.473396301269531
12 24 6|12 24 6,9.217262268066406
18 24 6|18 24 6,8.974075317382812
24 24 6|24 24 6,8.487701416015625
30 24 6|30 24 6,9.474754333496094
36 24 6|36 24 6,10.395050048828125
42 24 6|42 24 6,11.157989501953125
48 24 6|48 24 6,10.285377502441406
54 24 6|54 24 6,10.557174682617188
60 24 6|60 24 6,11.777877807617188
66 24 6|66 24 6,11.391639709472656
72 24 6|72 24 6,16.160011291503906
78 24 6|78 24 6,13.184547424316406
84 24 6|84 24 6,12.516975402832031
90 24 6|90 24 6,13.799667358398438
96 24 6|96 24 6,13.895034790039062
30 6|30 6,7.534027099609375
6 30 6|6 30 6,8.134841918945312
12 30 6|12 30 6,8.358955383300781
18 30 6|18 30 6,8.883476257324219
24 30 6|24 30 6,8.6212158203125
30 30 6|30 30 6,10.890960693359375
36 30 6|36 30 6,10.666847229003906
42 30 6|42 30 6,11.448860168457031
48 30 6|48 30 6,12.063980102539062
54 30 6|54 30 6,13.332366943359375
60 30 6|60 30 6,35.529136657714844
66 30 6|66 30 6,13.599395751953125
72 30 6|72 30 6,13.718605041503906
78 30 6|78 30 6,13.995170593261719
84 30 6|84 30 6,15.358924865722656
90 30 6|90 30 6,14.491081237792969
96 30 6|96 30 6,15.401840209960936
36 6|36 6,7.7152252197265625
6 36 6|6 36 6,8.864402770996094
12 36 6|12 36 6,9.379386901855469
18 36 6|18 36 6,9.050369262695312
24 36 6|24 36 6,10.437965393066406
30 36 6|30 36 6,10.313987731933594
36 36 6|36 36 6,11.162757873535156
42 36 6|42 36 6,11.959075927734375
48 36 6|48 36 6,10.972023010253906
54 36 6|54 36 6,12.516975402832031
