6|6,10.79559326171875
6 6|6 6,11.944770812988281
6 6 6|6 6 6,11.415481567382812
12 6 6|12 6 6,10.9100341796875
18 6 6|18 6 6,11.32965087890625
24 6 6|24 6 6,11.038780212402344
30 6 6|30 6 6,11.067390441894531
36 6 6|36 6 6,11.076927185058594
42 6 6|42 6 6,10.924339294433594
48 6 6|48 6 6,11.553764343261719
54 6 6|54 6 6,11.296272277832031
60 6 6|60 6 6,11.2152099609375
66 6 6|66 6 6,11.40594482421875
72 6 6|72 6 6,11.224746704101562
78 6 6|78 6 6,11.129379272460938
84 6 6|84 6 6,11.801719665527344
90 6 6|90 6 6,11.410713195800781
96 6 6|96 6 6,11.10076904296875
12 6|12 6,11.553764343261719
6 12 6|6 12 6,11.334419250488281
12 12 6|12 12 6,11.110305786132812
18 12 6|18 12 6,11.343955993652344
24 12 6|24 12 6,10.933876037597656
30 12 6|30 12 6,10.976791381835938
36 12 6|36 12 6,10.776519775390625
42 12 6|42 12 6,10.781288146972656
48 12 6|48 12 6,11.053085327148438
54 12 6|54 12 6,11.229515075683594
60 12 6|60 12 6,11.348724365234375
66 12 6|66 12 6,10.905265808105469
72 12 6|72 12 6,11.510848999023438
78 12 6|78 12 6,11.219978332519531
84 12 6|84 12 6,11.382102966308594
90 12 6|90 12 6,11.286735534667969
96 12 6|96 12 6,11.401176452636719
18 6|18 6,10.437965393066406
6 18 6|6 18 6,11.582374572753906
12 18 6|12 18 6,12.564659118652344
18 18 6|18 18 6,11.02447509765625
24 18 6|24 18 6,11.129379272460938
30 18 6|30 18 6,10.905265808105469
36 18 6|36 18 6,10.843276977539062
42 18 6|42 18 6,11.153221130371094
48 18 6|48 18 6,12.01629638671875
54 18 6|54 18 6,11.539459228515625
60 18 6|60 18 6,11.305809020996094
66 18 6|66 18 6,11.467933654785156
72 18 6|72 18 6,11.386871337890625
78 18 6|78 18 6,12.121200561523438
84 18 6|84 18 6,11.444091796875
90 18 6|90 18 6,11.553764343261719
96 18 6|96 18 6,11.534690856933594
24 6|24 6,11.501312255859375
6 24 6|6 24 6,10.547637939453125
12 24 6|12 24 6,11.224746704101562
18 24 6|18 24 6,11.286735534667969
24 24 6|24 24 6,10.938644409179688
30 24 6|30 24 6,11.320114135742188
36 24 6|36 24 6,10.600090026855469
42 24 6|42 24 6,11.153221130371094
48 24 6|48 24 6,11.210441589355469
54 24 6|54 24 6,10.881423950195312
60 24 6|60 24 6,11.296272277832031
66 24 6|66 24 6,11.458396911621094
72 24 6|72 24 6,13.175010681152344
78 24 6|78 24 6,11.305809020996094
84 24 6|84 24 6,11.572837829589844
90 24 6|90 24 6,11.997222900390625
96 24 6|96 24 6,12.24517822265625
30 6|30 6,10.809898376464844
6 30 6|6 30 6,10.814666748046875
12 30 6|12 30 6,10.657310485839844
18 30 6|18 30 6,10.929107666015625
24 30 6|24 30 6,10.929107666015625
30 30 6|30 30 6,11.081695556640625
36 30 6|36 30 6,11.076927185058594
42 30 6|42 30 6,11.668205261230469
48 30 6|48 30 6,11.191368103027344
54 30 6|54 30 6,11.448860168457031
60 30 6|60 30 6,11.920928955078125
66 30 6|66 30 6,11.868476867675781
72 30 6|72 30 6,11.987686157226562
78 30 6|78 30 6,11.734962463378906
84 30 6|84 30 6,11.606216430664062
90 30 6|90 30 6,11.997222900390625
96 30 6|96 30 6,11.963844299316406
36 6|36 6,10.919570922851562
