6|6,6.670951843261719
6 6|6 6,7.185935974121094
6 6 6|6 6 6,6.814002990722656
12 6 6|12 6 6,6.833076477050781
18 6 6|18 6 6,7.4672698974609375
24 6 6|24 6 6,7.0095062255859375
30 6 6|30 6 6,6.566047668457031
36 6 6|36 6 6,6.985664367675781
42 6 6|42 6 6,6.9141387939453125
48 6 6|48 6 6,6.771087646484375
54 6 6|54 6 6,6.775856018066406
60 6 6|60 6 6,7.557868957519531
66 6 6|66 6 6,7.01904296875
72 6 6|72 6 6,6.75201416015625
78 6 6|78 6 6,6.9332122802734375
84 6 6|84 6 6,6.8569183349609375
90 6 6|90 6 6,6.809234619140625
96 6 6|96 6 6,6.82830810546875
12 6|12 6,6.690025329589844
6 12 6|6 12 6,6.518363952636719
12 12 6|12 12 6,8.325576782226562
18 12 6|18 12 6,6.308555603027344
24 12 6|24 12 6,6.728172302246094
30 12 6|30 12 6,6.937980651855469
36 12 6|36 12 6,6.82830810546875
42 12 6|42 12 6,6.694793701171875
48 12 6|48 12 6,6.775856018066406
54 12 6|54 12 6,7.305145263671875
60 12 6|60 12 6,6.871223449707031
66 12 6|66 12 6,6.8950653076171875
72 12 6|72 12 6,6.890296936035156
78 12 6|78 12 6,6.728172302246094
84 12 6|84 12 6,6.861686706542969
90 12 6|90 12 6,7.042884826660156
96 12 6|96 12 6,6.9141387939453125
18 6|18 6,6.5135955810546875
6 18 6|6 18 6,6.4945220947265625
12 18 6|12 18 6,6.690025329589844
18 18 6|18 18 6,6.928443908691406
24 18 6|24 18 6,6.6280364990234375
30 18 6|30 18 6,6.670951843261719
36 18 6|36 18 6,6.732940673828125
42 18 6|42 18 6,6.961822509765625
48 18 6|48 18 6,6.871223449707031
54 18 6|54 18 6,6.6852569580078125
60 18 6|60 18 6,6.8950653076171875
66 18 6|66 18 6,6.899833679199219
72 18 6|72 18 6,7.081031799316406
78 18 6|78 18 6,7.171630859375
84 18 6|84 18 6,6.90460205078125
90 18 6|90 18 6,6.794929504394531
96 18 6|96 18 6,7.109642028808594
24 6|24 6,6.384849548339844
6 24 6|6 24 6,6.6471099853515625
12 24 6|12 24 6,6.847381591796875
18 24 6|18 24 6,7.1811676025390625
24 24 6|24 24 6,6.4945220947265625
30 24 6|30 24 6,6.313323974609375
36 24 6|36 24 6,6.6661834716796875
42 24 6|42 24 6,6.690025329589844
48 24 6|48 24 6,6.756782531738281
54 24 6|54 24 6,7.4291229248046875
60 24 6|60 24 6,7.023811340332031
66 24 6|66 24 6,7.615089416503906
72 24 6|72 24 6,7.0285797119140625
78 24 6|78 24 6,7.109642028808594
84 24 6|84 24 6,7.2765350341796875
90 24 6|90 24 6,7.2002410888671875
96 24 6|96 24 6,7.071495056152344
30 6|30 6,6.7615509033203125
6 30 6|6 30 6,6.699562072753906
12 30 6|12 30 6,6.52313232421875
18 30 6|18 30 6,6.866455078125
24 30 6|24 30 6,6.7615509033203125
30 30 6|30 30 6,7.042884826660156
36 30 6|36 30 6,6.67572021484375
42 30 6|42 30 6,6.7138671875
48 30 6|48 30 6,7.739067077636719
54 30 6|54 30 6,7.3909759521484375
60 30 6|60 30 6,6.937980651855469
66 30 6|66 30 6,6.82830810546875
72 30 6|72 30 6,7.328987121582031
78 30 6|78 30 6,7.243156433105469
