6|6,3.1423568725585938
6 6|6 6,177.15930938720703
6 6 6|6 6 6,6.1321258544921875
12 6 6|12 6 6,5.850791931152344
18 6 6|18 6 6,6.194114685058594
24 6 6|24 6 6,6.21795654296875
30 6 6|30 6 6,6.461143493652344
36 6 6|36 6 6,6.356239318847656
42 6 6|42 6 6,6.3228607177734375
48 6 6|48 6 6,6.432533264160156
54 6 6|54 6 6,6.5135955810546875
60 6 6|60 6 6,6.546974182128906
66 6 6|66 6 6,6.656646728515625
72 6 6|72 6 6,6.613731384277344
78 6 6|78 6 6,6.5135955810546875
84 6 6|84 6 6,6.575584411621094
90 6 6|90 6 6,6.756782531738281
96 6 6|96 6 6,6.6089630126953125
12 6|12 6,6.079673767089844
6 12 6|6 12 6,6.155967712402344
12 12 6|12 12 6,6.237030029296875
18 12 6|18 12 6,6.537437438964844
24 12 6|24 12 6,6.451606750488281
30 12 6|30 12 6,6.5326690673828125
36 12 6|36 12 6,6.670951843261719
42 12 6|42 12 6,6.814002990722656
48 12 6|48 12 6,6.866455078125
54 12 6|54 12 6,7.610321044921875
60 12 6|60 12 6,7.739067077636719
66 12 6|66 12 6,7.2574615478515625
72 12 6|72 12 6,7.114410400390625
78 12 6|78 12 6,7.343292236328125
84 12 6|84 12 6,7.748603820800781
90 12 6|90 12 6,7.9441070556640625
96 12 6|96 12 6,9.160041809082031
18 6|18 6,6.136894226074219
6 18 6|6 18 6,6.21795654296875
12 18 6|12 18 6,6.356239318847656
18 18 6|18 18 6,6.489753723144531
24 18 6|24 18 6,7.157325744628906
30 18 6|30 18 6,6.651878356933594
36 18 6|36 18 6,6.861686706542969
42 18 6|42 18 6,6.7901611328125
48 18 6|48 18 6,7.958412170410157
54 18 6|54 18 6,7.033348083496094
60 18 6|60 18 6,12.640953063964844
66 18 6|66 18 6,7.147789001464844
72 18 6|72 18 6,7.2574615478515625
78 18 6|78 18 6,7.414817810058594
84 18 6|84 18 6,7.576942443847656
90 18 6|90 18 6,8.215904235839844
96 18 6|96 18 6,7.643699645996095
24 6|24 6,6.031990051269531
6 24 6|6 24 6,6.21795654296875
12 24 6|12 24 6,6.546974182128906
18 24 6|18 24 6,6.604194641113281
24 24 6|24 24 6,6.6852569580078125
30 24 6|30 24 6,7.4005126953125
36 24 6|36 24 6,7.891654968261719
42 24 6|42 24 6,7.2383880615234375
48 24 6|48 24 6,7.395744323730469
54 24 6|54 24 6,8.211135864257812
60 24 6|60 24 6,7.20977783203125
66 24 6|66 24 6,7.810592651367187
72 24 6|72 24 6,7.781982421875
78 24 6|78 24 6,8.006095886230469
84 24 6|84 24 6,8.563995361328125
90 24 6|90 24 6,8.955001831054688
96 24 6|96 24 6,8.230209350585938
30 6|30 6,6.06536865234375
6 30 6|6 30 6,6.356239318847656
12 30 6|12 30 6,6.632804870605469
18 30 6|18 30 6,6.718635559082031
24 30 6|24 30 6,7.128715515136719
30 30 6|30 30 6,6.885528564453125
36 30 6|36 30 6,7.042884826660156
42 30 6|42 30 6,8.478164672851562
